Borough,Neighborhood,Latitude,Longitude
Louvre,Louvre,48.8606,2.3376
Bourse,Bourse,48.8687,2.3412
Temple,Temple,48.8659,2.3611
Hotel-de-Ville,Hotel-de-Ville,48.8534,2.3583
Pantheon,Pantheon,48.8462,2.3464
Luxembourg,Luxembourg,48.8483,2.3282
Palais-Bourbon,Palais-Bourbon,48.8619,2.3186
Elysee,Quartier des Champs-Elysees,48.8662,2.3078
Elysee,Quartier du Faubourg-du-Roule,48.8747,2.3038
Elysee,Quartier de la Madeleine,48.8706,2.3189
Elysee,Quartier de l'Europe,48.8767,2.319
Opera,Opera,48.872,2.3316
Entrepot,Entrepot,48.8709,2.3561
Popincourt,Popincourt,48.8578,2.3803
Reuilly,Reuilly,48.8351,2.4351
Gobelins,Gobelins,48.8372,2.3537
Observatoire,Observatoire,48.805,2.2312
Vaugirard,Javel,48.8369,2.2787
Vaugirard,Grenelle,48.8508,2.2925
Vaugirard,Necker ,48.843,2.3126
Vaugirard,Saint-Lambert,48.8345,2.3006
Passy,Passy,48.8582,2.2749
Batignolles-Monceau,Batignolles-Monceau,48.885,2.2972
Butte-Montmartre,Quartier de La Chapelle,48.8932,2.3634
Butte-Montmartre,Goutte d'Or,48.8887,2.3556
Butte-Montmartre,Pigalle,48.8822,2.3373
Butte-Montmartre,Montmartre,48.8862,2.3431
Buttes-Chaumont,Buttes-Chaumont,48.8809,2.3828
Menilmontant,Menilmontant,48.87,2.3946
